service,method,path,operation_name,tag_category,auth_level,description,request_body_schema,response_schema,notes
gateway,POST,/api/v1/admin/hitl/{queue_id}/claim,Claim Hitl Item,Admin HITL,admin,Claims a HITL queue item for the current admin to work on.,,HitlQueueItemResponse,requires RequirePermission(manage_orders)
gateway,POST,/api/v1/admin/hitl/{queue_id}/start,Start Hitl Item,Admin HITL,admin,Marks a claimed HITL item as in-progress.,,HitlStatusResponse,requires RequirePermission(manage_orders)
gateway,POST,/api/v1/admin/hitl/{queue_id}/resolve,Resolve Hitl Item,Admin HITL,admin,Marks a HITL item resolved with the admin's supplied resolution notes.,HitlResolveRequest,HitlStatusResponse,requires RequirePermission(manage_orders)
gateway,POST,/api/v1/admin/hitl/{queue_id}/cancel,Cancel Hitl Item,Admin HITL,admin,Cancels a HITL queue item.,,HitlStatusResponse,requires RequirePermission(manage_orders)
gateway,GET,/api/v1/admin/dashboard,Get Dashboard Summary,Admin Dashboard,admin,"Returns cached top-level KPIs (GMV, active users, approval/default rate, overdue amounts) for the admin dashboard, computing and caching them if the cache is cold.",,,requires RequirePermission(read_reports); short-TTL Redis cache
gateway,GET,/api/v1/admin/dashboard/order-funnel,Order Funnel,Admin Dashboard,admin,Returns a count of orders grouped by status to visualise the order funnel.,,,requires RequirePermission(read_reports)
gateway,GET,/api/v1/admin/dashboard/revenue-breakdown,Revenue Breakdown,Admin Dashboard,admin,"Returns monthly platform profit, product cost, and GMV series for the trailing N months.",,,requires RequirePermission(read_reports)
gateway,GET,/api/v1/admin/dashboard/payment-status-distribution,Payment Status Distribution,Admin Dashboard,admin,Returns payment transaction counts and totals grouped by status over a trailing window of days.,,,requires RequirePermission(read_reports)
gateway,GET,/api/v1/admin/dashboard/acquisition-by-channel,Acquisition By Channel,Admin Dashboard,admin,Returns user acquisition and order counts grouped by first-touch marketing channel.,,,requires RequirePermission(read_reports)
gateway,GET,/api/v1/admin/analytics/gmv-trend,Gmv Trend,Admin Analytics,admin,"Returns a daily GMV time series over the requested period (7d/30d/90d), cached in Redis for 10 minutes.",,,requires RequirePermission(read_reports)
gateway,GET,/api/v1/admin/analytics/approval-funnel,Approval Funnel,Admin Analytics,admin,Returns order counts grouped by status over the requested period as an approval funnel.,,,requires RequirePermission(read_reports)
gateway,GET,/api/v1/admin/analytics/credit-band-distribution,Credit Band Distribution,Admin Analytics,admin,Returns counts of risk assessments grouped by risk band over the trailing 90 days.,,,requires RequirePermission(read_reports)
gateway,GET,/api/v1/admin/analytics/default-rate-trend,Default Rate Trend,Admin Analytics,admin,Returns a weekly installment default-rate percentage time series over the requested period.,,,requires RequirePermission(read_reports)
gateway,GET,/api/v1/admin/analytics/cohort,Cohort Analysis,Admin Analytics,admin,"Returns monthly user signup cohorts with 30-day retention percentages, limited to the last 12 cohorts.",,,requires RequirePermission(read_reports)
gateway,GET,/api/v1/admin/analytics/custom-report,Custom Report,Admin Analytics,admin,"Runs one of a fixed set of predefined analytical SQL reports (revenue_by_period, user_acquisition, default_summary, installment_collection) over a date range.",,,requires RequirePermission(read_reports)
gateway,GET,/api/v1/admin/analytics/export,Export Analytics,Admin Analytics,admin,"Streams a CSV export of one of several report types (gmv, cohort, default_summary, installment_collection) for a given period.",,,requires RequirePermission(read_reports); returns text/csv attachment
gateway,GET,/api/v1/admin/analytics/executive-summary,Executive Summary,Admin Analytics,admin,"Returns period-over-period GMV, order, user, approval-rate and default-rate growth metrics for an executive summary view.",,,requires RequirePermission(read_reports)
gateway,GET,/api/v1/admin/analytics/geographic,Geographic Distribution,Admin Analytics,admin,"Returns user, order and GMV counts grouped by province.",,,requires RequirePermission(read_reports)
gateway,GET,/api/v1/admin/users,List Admin Users,Admin Users,admin,"Returns a paginated, searchable, sortable list of platform users with credit and order-count summaries.",,,requires RequirePermission(read_user); returns paginated list
gateway,GET,/api/v1/admin/users/closure-requests,List Closure Requests,Admin Users,admin,"Lists account closure/erasure requests, optionally filtered by status, with linked user details.",,,requires RequirePermission(manage_users); returns paginated list
gateway,GET,/api/v1/admin/users/{user_id},Get Admin User Detail,Admin Users,admin,Returns a single user's core detail plus which admin-panel tabs the caller's permissions unlock.,,,requires RequirePermission(read_user)
gateway,GET,/api/v1/admin/users/{user_id}/financial-summary,Get User Financial Summary,Admin Users,admin,"Returns a user's credit limit, available credit, risk band, outstanding balance, active loans and overdue installment counts.",,,requires RequirePermission(read_user_financials)
gateway,GET,/api/v1/admin/users/{user_id}/kyc,Get User Kyc Summary,Admin Users,admin,Returns a user's KYC profile (with CNIC decrypted) and latest verification record.,,,requires RequirePermission(read_user)
gateway,GET,/api/v1/admin/users/{user_id}/activity,Get User Activity,Admin Users,admin,Returns a paginated audit-trail activity feed for a specific user.,,,requires RequirePermission(read_user); returns paginated list
gateway,PUT,/api/v1/admin/users/{user_id}/status,Update User Status,Admin Users,admin,Updates a user's account status (active/suspended/blocked); suspending or blocking immediately revokes all active sessions.,UpdateUserStatusRequest,,requires RequirePermission(manage_users)
gateway,PUT,/api/v1/admin/users/{user_id}/credit-limit,Update User Credit Limit,Admin Users,admin,"Sets a user's credit limit directly, or creates a pending approval request if the new limit exceeds the PKR 100,000 threshold.",UpdateCreditLimitRequest,,requires RequirePermission(update_user)
gateway,GET,/api/v1/admin/users/{user_id}/orders,Get User Orders,Admin Users,admin,Returns a paginated list of a user's orders.,,,requires RequirePermission(read_user); returns paginated list
gateway,GET,/api/v1/admin/users/{user_id}/loans,Get User Loans,Admin Users,admin,"Returns a paginated list of a user's loans with principal, profit and repayment totals.",,,requires RequirePermission(read_user); returns paginated list
gateway,GET,/api/v1/admin/users/{user_id}/installments,Get User Installments,Admin Users,admin,Returns a paginated list of a user's installments across all loans.,,,requires RequirePermission(read_user_financials); returns paginated list
gateway,GET,/api/v1/admin/users/{user_id}/audit-log,Get User Audit Log,Admin Users,admin,Returns a paginated audit-trail log filtered to actions performed on a specific user.,,,requires RequirePermission(read_user); returns paginated list
gateway,GET,/api/v1/admin/users/{user_id}/risk-history,Get User Risk History,Admin Users,admin,Returns a paginated history of risk assessments run for a user.,,,requires RequirePermission(read_user_financials); returns paginated list
gateway,GET,/api/v1/admin/users/{user_id}/risk,Get User Risk History Alias,Admin Users,admin,"Alias of the risk-history endpoint, delegating to the same handler.",,,requires RequirePermission(read_user_financials); alias route
gateway,GET,/api/v1/admin/users/{user_id}/contracts,Get User Contracts,Admin Users,admin,Returns a user's Wakalah and Murabaha contract records.,,,requires RequirePermission(read_user)
gateway,GET,/api/v1/admin/users/{user_id}/devices,Get User Devices,Admin Users,admin,Lists a user's registered push-notification devices.,,,requires RequirePermission(read_user)
gateway,POST,/api/v1/admin/users/{user_id}/force-logout,Force Logout User,Admin Users,admin,Forcibly revokes all of a user's active sessions in Redis and the database.,,,requires RequirePermission(manage_users)
gateway,POST,/api/v1/admin/users/{user_id}/reset-failed-attempts,Reset User Failed Attempts,Admin Users,admin,Clears a user's failed-login counter and any account lockout.,,,requires RequirePermission(update_user)
gateway,POST,/api/v1/admin/users,Create Admin User,Admin Users,admin,"Creates a new user account with a temporary generated password, returned once in the response.",CreateUserRequest,,requires RequirePermission(manage_users)
gateway,POST,/api/v1/admin/users/bulk,Bulk User Action,Admin Users,admin,"Suspends, activates, or blocks up to 200 users in a single call, revoking sessions for suspended/blocked users.",BulkUserActionRequest,,requires RequirePermission(manage_users)
gateway,POST,/api/v1/admin/users/{user_id}/closure-request,Request User Closure,Admin Users,admin,"Opens an account-closure/erasure request with a 30-day cooling-off period, suspending the user and revoking sessions immediately.",ClosureRequestBody,,requires RequirePermission(manage_users)
gateway,POST,/api/v1/admin/users/closure-requests/{request_id}/execute,Execute Closure Request,Admin Users,admin,"Executes a pending closure request by anonymising the user's PII, restricted by a cooling-off period unless the caller is a super_admin.",,,requires RequirePermission(manage_users)
gateway,GET,/api/v1/admin/orders,List Admin Orders,Admin Orders,admin,"Returns a paginated, searchable, sortable list of orders with user phone and product name.",,,requires RequirePermission(read_order); returns paginated list
gateway,GET,/api/v1/admin/orders/summary,Orders Summary,Admin Orders,admin,"Returns aggregate order counts by status plus today's order count, average order value, and GMV.",,,requires RequirePermission(read_order)
gateway,GET,/api/v1/admin/orders/{order_id},Get Admin Order Detail,Admin Orders,admin,"Returns full order detail including user, product, totals and linked loan financial summary.",,,requires RequirePermission(read_order)
gateway,PUT,/api/v1/admin/orders/{order_id}/status,Admin Override Order Status,Admin Orders,admin,"Manually overrides an order's status for HITL resolution, validating the new status against the canonical OrderState set and logging history.",AdminOrderStatusRequest,,requires RequirePermission(manage_orders)
gateway,GET,/api/v1/admin/orders/{order_id}/installments,Get Order Installments,Admin Orders,admin,Lists all installments for the loan attached to an order.,,,requires RequirePermission(manage_orders)
gateway,GET,/api/v1/admin/orders/{order_id}/payments,Get Order Payments,Admin Orders,admin,Lists payment transactions recorded against an order.,,,requires RequirePermission(manage_payments)
gateway,GET,/api/v1/admin/orders/{order_id}/timeline,Get Order Status Timeline,Admin Orders,admin,Returns the chronological status-change history for an order.,,,requires RequirePermission(read_order)
gateway,GET,/api/v1/admin/orders/{order_id}/vcn,Get Order Vcn,Admin Orders,admin,"Returns the virtual card (VCN) issued for an order, or a not_issued status if none exists.",,,requires RequirePermission(manage_orders)
gateway,POST,/api/v1/admin/orders/{order_id}/retry-vcn,Admin Retry Vcn Issuance,Admin Orders,admin,"Re-queues VCN issuance for an order stuck at pending_vcn after a failed issuance, since no automatic retry path exists.",AdminRetryVcnRequest,,requires RequirePermission(manage_orders); enqueues to payment-orchestrator VCN_ISSUE queue
gateway,POST,/api/v1/admin/orders/{order_id}/refund,Request Order Refund,Admin Orders,admin,"Queues a refund request for an order in a refundable status (e.g. delivered, completed).",AdminOrderRefundRequest,,requires RequirePermission(manage_payments); enqueues to PAYMENT_INITIATE queue
gateway,POST,/api/v1/admin/orders/{order_id}/restructure,Restructure Order Loan,Admin Orders,admin,Queues a loan installment-count restructure request for an order's active loan.,AdminOrderRestructureRequest,,requires RequirePermission(manage_orders); enqueues to PAYMENT_INITIATE queue
gateway,POST,/api/v1/admin/orders,Create Manual Order,Admin Orders,admin,"Creates an order manually on behalf of a user (e.g. phone/in-store orders), computing the down payment from the platform default percentage.",CreateManualOrderRequest,,requires RequirePermission(manage_orders)
gateway,GET,/api/v1/admin/orders/{order_id}/communications,Get Order Communications,Admin Orders,admin,Lists notification records sent to the customer that reference this order.,,,requires RequirePermission(read_order)
gateway,GET,/api/v1/admin/payments,List Admin Payments,Admin Payments,admin,"Returns a paginated, searchable, sortable list of payment transactions filterable by gateway and status.",,,requires RequirePermission(manage_payments); returns paginated list
gateway,GET,/api/v1/admin/payments/collections-summary,Collections Summary,Admin Payments,admin,"Returns aggregate installment collection metrics: overdue/pending counts and amounts, today/MTD collections, and on-time payment rate.",,,requires RequirePermission(manage_payments)
gateway,GET,/api/v1/admin/payments/aging-buckets,Aging Buckets,Admin Payments,admin,"Buckets outstanding installments by days-overdue range (current, 1-30, 31-60, 61-90, 90+) with counts and amounts.",,,requires RequirePermission(manage_payments)
gateway,GET,/api/v1/admin/payments/{payment_id},Get Admin Payment Detail,Admin Payments,admin,Returns detail for a single payment transaction including failure code/message if it failed.,,,requires RequirePermission(manage_payments)
gateway,POST,/api/v1/admin/payments/installment/{installment_id}/manual-pay,Manual Pay Installment,Admin Payments,admin,"Manually marks an installment as paid, creating a manual PaymentTransaction record and enqueueing a ledger-sync event.",ManualPayRequest,,requires RequirePermission(manage_payments); enqueues PAYMENT_WEBHOOK event
gateway,POST,/api/v1/admin/payments/installments/{installment_id}/waive-late-fee,Waive Late Fee,Admin Payments,admin,"Waives an installment's late fee, zeroing it out and publishing a ledger adjustment event.",LateFeeWaiverRequest,,requires RequirePermission(manage_payments); enqueues PAYMENT_WEBHOOK event
gateway,GET,/api/v1/admin/installments,List Admin Installments,Admin Installments,admin,"Returns a paginated, filterable (status/user/loan/overdue-only) list of installments across all loans.",,,requires RequirePermission(manage_payments); returns paginated list
gateway,GET,/api/v1/admin/risk/blacklist,List Blacklist,Admin Risk,admin,"Returns a paginated list of risk blacklist entries, optionally filtered by entry type.",,,requires RequirePermission(manage_risk); returns paginated list
gateway,POST,/api/v1/admin/risk/blacklist,Add To Blacklist,Admin Risk,admin,Adds a user/device/ip/phone value to the risk blacklist after checking for duplicates.,BlacklistCreateRequest,,requires RequirePermission(manage_risk)
gateway,DELETE,/api/v1/admin/risk/blacklist/{entry_id},Remove From Blacklist,Admin Risk,admin,Soft-deletes a blacklist entry.,,,requires RequirePermission(manage_risk)
gateway,GET,/api/v1/admin/risk/dashboard,Risk Dashboard,Admin Risk,admin,"Returns fraud-alert counts by severity, review-queue counts by status, average alert resolution time, blacklist size, and SLA-breached review count.",,,requires RequirePermission(read_risk)
gateway,GET,/api/v1/admin/risk/fraud-alerts,List Fraud Alerts,Admin Risk,admin,"Returns a paginated, filterable list of fraud alerts sorted by severity then recency.",,,requires RequirePermission(read_risk); returns paginated list
gateway,GET,/api/v1/admin/risk/fraud-alerts/{alert_id},Get Fraud Alert,Admin Risk,admin,Returns full detail for a single fraud alert including the linked user's risk band and credit limit.,,,requires RequirePermission(read_risk)
gateway,POST,/api/v1/admin/risk/fraud-alerts/{alert_id}/decision,Decide Fraud Alert,Admin Risk,admin,Records an admin's investigation decision (investigating/resolved_genuine/resolved_fraud/false_positive) on a fraud alert.,FraudAlertDecisionRequest,,requires RequirePermission(manage_risk)
gateway,GET,/api/v1/admin/risk/underwriting-queue,List Underwriting Queue,Admin Risk,admin,"Returns a paginated, filterable manual-underwriting review queue with SLA-breach flags.",,,requires RequirePermission(read_risk); returns paginated list
gateway,GET,/api/v1/admin/risk/underwriting-queue/{item_id},Get Underwriting Item,Admin Risk,admin,Returns a review-queue item's detail plus the linked user's context and latest bank-statement analysis.,,,requires RequirePermission(read_risk)
gateway,POST,/api/v1/admin/risk/underwriting-queue/{item_id}/decision,Decide Underwriting Item,Admin Risk,admin,"Records an admin decision (in_review/resolved/escalated) on a manual underwriting review item, optionally self-assigning it.",UnderwritingDecisionRequest,,requires RequirePermission(manage_risk)
gateway,GET,/api/v1/admin/risk/credit-policy,Get Credit Policy,Admin Risk,admin,Returns the subset of system parameters that make up the credit policy.,,,requires RequirePermission(read_risk); delegates to admin_system get_system_parameters
gateway,PUT,/api/v1/admin/risk/credit-policy,Update Credit Policy,Admin Risk,admin,"Updates credit-policy system parameters, rejecting any key outside the known credit-policy key set.",UpdateCreditPolicyRequest,,requires RequirePermission(manage_risk); delegates to admin_system update_system_parameters
gateway,GET,/api/v1/admin/approval-requests,List Approval Requests,Admin Approvals,admin,"Returns a paginated list of manager-approval requests (e.g. credit-limit increases), filterable by status and type.",,,requires RequirePermission(manage_users); returns paginated list
gateway,GET,/api/v1/admin/approval-requests/{request_id},Get Approval Request,Admin Approvals,admin,Returns a single approval request's detail.,,,requires RequirePermission(manage_users)
gateway,POST,/api/v1/admin/approval-requests/{request_id}/decision,Decide Approval Request,Admin Approvals,admin,Approves or rejects a pending approval request (e.g. applying a credit-limit increase); the requesting admin cannot approve their own request.,ApprovalDecisionRequest,,requires RequirePermission(manage_users)
gateway,GET,/api/v1/admin/finance/pnl,Profit And Loss,Admin Financial Ops,admin,Returns a monthly GMV/platform-profit/product-cost P&L series plus totals including late-fee income and charity allocations.,,,requires RequirePermission(read_financials)
gateway,GET,/api/v1/admin/finance/credit-loss,Credit Loss,Admin Financial Ops,admin,Returns defaulted/written-off/active loan exposure totals plus a provision estimate computed from the configured provision rate.,,,requires RequirePermission(read_financials)
gateway,GET,/api/v1/admin/finance/tax-summary,Tax Summary,Admin Financial Ops,admin,Computes taxable platform profit and GST liability for a trailing period using the configured GST rate.,,,requires RequirePermission(read_financials)
gateway,POST,/api/v1/admin/finance/tax-summary/generate,Generate Tax Summary Filing,Admin Financial Ops,admin,Snapshots the current tax summary as a regulatory FBR GST-return filing record.,,,requires RequirePermission(manage_financials)
gateway,GET,/api/v1/admin/notifications,List Notifications,Admin Notifications,admin,"Returns a paginated list of notification records, filterable by category and status.",,,requires RequirePermission(read_reports); returns paginated list
gateway,GET,/api/v1/admin/notifications/summary,Notifications Summary,Admin Notifications,admin,Returns notification counts by status and per-channel dispatch counts by status.,,,requires RequirePermission(read_reports)
gateway,GET,/api/v1/admin/notifications/templates,List Templates,Admin Notifications,admin,"Lists all notification templates across event types, channels and languages.",,,requires RequirePermission(read_reports)
gateway,POST,/api/v1/admin/notifications/templates,Create Template,Admin Notifications,admin,Creates a new notification template for an event type/channel/language combination.,TemplateRequest,,requires RequirePermission(manage_system)
gateway,PUT,/api/v1/admin/notifications/templates/{template_id},Update Template,Admin Notifications,admin,Updates a notification template's subject/body and bumps its version.,TemplateRequest,,requires RequirePermission(manage_system)
gateway,POST,/api/v1/admin/notifications/broadcast,Broadcast Notification,Admin Notifications,admin,"Creates and enqueues a notification to a user segment (all active, pending KYC, or a specific list), capped at 5000 recipients.",BroadcastRequest,,requires RequirePermission(manage_system); enqueues per-channel notification queues
gateway,GET,/api/v1/admin/documents,List Documents,Admin Documents,admin,"Returns a paginated list of uploaded user documents, filterable by status and document type.",,,requires RequirePermission(manage_kyc_queue); returns paginated list
gateway,GET,/api/v1/admin/documents/{document_id},Get Document Detail,Admin Documents,admin,Returns full detail for a single uploaded document including its storage path and verification notes.,,,requires RequirePermission(manage_kyc_queue)
gateway,POST,/api/v1/admin/documents/{document_id}/decision,Decide Document,Admin Documents,admin,Marks a document verified or rejected with optional notes.,DocumentDecisionRequest,,requires RequirePermission(manage_kyc_queue)
gateway,GET,/api/v1/admin/documents/summary/counts,Document Summary,Admin Documents,admin,Returns document counts grouped by status.,,,requires RequirePermission(manage_kyc_queue)
gateway,GET,/api/v1/admin/logs/errors,List Error Logs,Admin Logs,admin,"Returns a paginated list of application error log entries, filterable by service and severity.",,,requires RequirePermission(read_reports); returns paginated list
gateway,GET,/api/v1/admin/logs/background-jobs,List Background Jobs,Admin Logs,admin,"Returns a list of background job execution records, filterable by status.",,,requires RequirePermission(read_reports)
gateway,GET,/api/v1/admin/logs/scheduled-tasks,List Scheduled Tasks,Admin Logs,admin,Lists configured scheduled/cron tasks with their last and next run times and status.,,,requires RequirePermission(read_reports)
gateway,GET,/api/v1/admin/logs/summary,Logs Summary,Admin Logs,admin,Returns error counts by severity over the last 24 hours and background job counts by status.,,,requires RequirePermission(read_reports)
gateway,GET,/api/v1/admin/reports,List Generated Reports,Admin Reporting Engine,admin,"Returns a paginated list of generated regulatory reports, filterable by report type.",,,requires RequirePermission(read_reports); returns paginated list
gateway,GET,/api/v1/admin/reports/summary,Reports Summary,Admin Reporting Engine,admin,Returns report counts grouped by type with the last-generated timestamp for each.,,,requires RequirePermission(read_reports)
gateway,GET,/api/v1/admin/developer/api-keys,List Api Keys,Admin Developer Tools,admin,Lists all partner/merchant API keys with scopes and usage metadata (key hash never returned).,,,requires RequirePermission(manage_system)
gateway,POST,/api/v1/admin/developer/api-keys,Create Api Key,Admin Developer Tools,admin,"Generates a new partner API key, returning the full raw key exactly once.",CreateApiKeyRequest,,requires RequirePermission(manage_system); raw key shown only in this response
gateway,DELETE,/api/v1/admin/developer/api-keys/{key_id},Revoke Api Key,Admin Developer Tools,admin,Deactivates an API key.,,,requires RequirePermission(manage_system)
gateway,GET,/api/v1/admin/developer/webhooks,List Webhooks,Admin Developer Tools,admin,Lists configured outbound merchant webhooks and their subscribed event types.,,,requires RequirePermission(manage_system)
gateway,GET,/api/v1/admin/developer/integration-logs,List Integration Logs,Admin Developer Tools,admin,"Returns a paginated log of outbound integration calls, filterable by service name and success status.",,,requires RequirePermission(manage_system); returns paginated list
gateway,GET,/api/v1/admin/developer/summary,Developer Summary,Admin Developer Tools,admin,Returns counts of active API keys and webhooks plus the 24-hour integration call success rate.,,,requires RequirePermission(manage_system)
gateway,GET,/api/v1/admin/marketing/campaigns,List Campaigns,Admin Marketing,admin,"Lists marketing campaigns with budget and spend, optionally filtered by status.",,,requires RequirePermission(read_marketing)
gateway,POST,/api/v1/admin/marketing/campaigns,Create Campaign,Admin Marketing,admin,"Creates a new marketing campaign in draft status for a given channel, budget and date range.",CampaignRequest,,requires RequirePermission(manage_system)
gateway,GET,/api/v1/admin/marketing/promo-codes,List Promo Codes,Admin Marketing,admin,"Lists promotional/discount codes, optionally filtered to active-only.",,,requires RequirePermission(read_marketing)
gateway,POST,/api/v1/admin/marketing/promo-codes,Create Promo Code,Admin Marketing,admin,Creates a new promotional code after checking the code is not already in use.,PromoCodeRequest,,requires RequirePermission(manage_system)
